UNI	 NUMUNDERGRAD NUMDOC NUMMASTER NUMESPECIALIZA NUMFACULTY NUMADJUNCT
UNAL	 42428	      1171   5983      1313	      2794	 1240
UDEA     35280	      548    1666      598 	      1724	 3553
UNIANDES 14054	      419    3053      806	      633	 863
